Id,cycleName,distinctLanes,Radius,GridLength,Type,iterations,PhotonsDetected,cycleType,lanes,Photons,Milliseconds,PercentageTime,Percent
66,"[14,9]",6,19.534999999999986,10,B,10000,11600,SEXO,14,700,513,0.0513,0.0603448275862069
67,"[14,9]",6,19.833999999999985,10,B,10000,12100,SEXO,9,0,10,0.001,0
67,"[14,9]",6,19.833999999999985,10,B,10000,12100,SEXO,10,500,518,0.0518,0.04132231404958678
67,"[14,9]",6,19.833999999999985,10,B,10000,12100,SEXO,11,1800,1727,0.1727,0.1487603305785124
67,"[14,9]",6,19.833999999999985,10,B,10000,12100,SEXO,12,3200,2675,0.2675,0.2644628099173554
67,"[14,9]",6,19.833999999999985,10,B,10000,12100,SEXO,13,4900,3840,0.384,0.4049586776859504
67,"[14,9]",6,19.833999999999985,10,B,10000,12100,SEXO,14,1700,1230,0.123,0.14049586776859505
68,"[14,10]",5,20.132999999999985,10,B,10000,12500,PENT,10,0,2,0.0002,0
68,"[14,10]",5,20.132999999999985,10,B,10000,12500,PENT,11,1600,1499,0.1499,0.128
68,"[14,10]",5,20.132999999999985,10,B,10000,12500,PENT,12,2200,1878,0.1878,0.176
68,"[14,10]",5,20.132999999999985,10,B,10000,12500,PENT,13,5600,4361,0.4361,0.448
68,"[14,10]",5,20.132999999999985,10,B,10000,12500,PENT,14,3100,2260,0.226,0.248
69,"[14,11]",4,20.431999999999984,10,B,10000,12900,QUAD,11,700,667,0.0667,0.05426356589147287
69,"[14,11]",4,20.431999999999984,10,B,10000,12900,QUAD,12,1600,1366,0.1366,0.12403100775193798
69,"[14,11]",4,20.431999999999984,10,B,10000,12900,QUAD,13,5300,4151,0.4151,0.4108527131782946
